"iso","country","year_investment","sector","subsector","investor","region","share_size","bri","gdp","investment","investments_share_percent_gdp"
"JAM","Jamaica",2017,"Energy","Oil","Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,0,14808989993.3185,7.6e+08,5.13201778340654
"JOR","Jordan",2007,"Transport","Rail","China Electronics Corporation","Middle East & North Africa","0.5",0,17110587447.1086,1e+08,0.584433470265793
"JOR","Jordan",2008,"Energy","Gas","Shandong Electric Power Construction III","Middle East & North Africa",NA,0,22657662392.5602,1.4e+08,0.617892515010595
"JOR","Jordan",2013,"Energy","Oil","Power Construction Corp. (PowerChina)","Middle East & North Africa",NA,0,34454440140.8451,1.7e+09,4.93405202072833
"JOR","Jordan",2014,"Energy","Oil","China Energy Engineering","Middle East & North Africa",NA,0,36847643521.1268,1.6e+09,4.34220440469316
"JOR","Jordan",2016,"Energy","Oil","Guangdong Province, Huaneng Power","Middle East & North Africa","0.45",0,39892551126.7606,9.5e+08,2.38139696050355
"JOR","Jordan",2017,"Energy","Gas","Power Construction Corp. (PowerChina)","Middle East & North Africa",NA,0,41408960845.0704,3.8e+08,0.917675769314162
"JPN","Japan",2006,"Energy","Alternative","Wuxi Suntech","East Asia & Pacific","0.67",0,4601663122649.92,1.1e+08,0.00239044008803181
"JPN","Japan",2018,"Energy","Oil","China International Trust and Investment (CITIC)","East Asia & Pacific",NA,0,5036891740656.35,1e+08,0.00198535138630891
"KAZ","Kazakhstan",2005,"Energy","Oil","China National Petroleum Corp. (CNPC)","Europe & Central Asia","0.67",0,57123671733.8952,4.2e+09,7.35246855203088
"KAZ","Kazakhstan",2006,"Energy",NA,"China International Trust and Investment (CITIC)","Europe & Central Asia",NA,0,81003884545.4099,1.91e+09,2.35791161216383
"KAZ","Kazakhstan",2007,"Energy","Gas","China National Petroleum Corp. (CNPC)","Europe & Central Asia",NA,0,104849886825.584,1.31e+09,1.24940525894812
"KAZ","Kazakhstan",2008,"Energy",NA,"Xinjiang Guanghui","Europe & Central Asia","0.49",0,133441612246.798,2.5e+08,0.187347856332573
"KAZ","Kazakhstan",2009,"Energy","Gas","China Investment Corporation (CIC)","Europe & Central Asia","0.11",0,115308661142.927,3.54e+09,3.07002090295031
"KAZ","Kazakhstan",2010,"Energy","Hydro","Gezhouba, Xinjiang International Economic Cooperation","Europe & Central Asia",NA,0,148047348240.643,7.3e+08,0.493085495062988
"KAZ","Kazakhstan",2011,"Energy","Oil","China Petroleum and Chemical (Sinopec)","Europe & Central Asia",NA,0,192626507971.584,8.5e+08,0.441268446877203
"KAZ","Kazakhstan",2012,"Energy",NA,"China National Machinery Industry (Sinomach)","Europe & Central Asia",NA,0,207998568865.789,2.1e+09,1.00962233127432
"KAZ","Kazakhstan",2013,"Energy","Oil","China National Petroleum Corp. (CNPC)","Europe & Central Asia","0.08",0,236634552078.102,5.3e+09,2.23974054230708
"KAZ","Kazakhstan",2014,"Energy","Oil","China Petroleum and Chemical (Sinopec)","Europe & Central Asia","0.5",1,221415572819.5,1.62e+09,0.731655853908993
"KAZ","Kazakhstan",2015,"Energy","Oil","Geo-Jade Petroleum","Europe & Central Asia","1",1,184388432148.715,6e+08,0.325400022663071
"KAZ","Kazakhstan",2016,"Energy","Alternative","Power Construction Corp. (PowerChina)","Europe & Central Asia",NA,1,137278320084.171,3.4e+08,0.247672028468539
"KAZ","Kazakhstan",2017,"Transport","Rail","China Railway Engineering","Europe & Central Asia",NA,1,166805800595.704,1.17e+09,0.701414456704531
"KAZ","Kazakhstan",2018,"Energy","Alternative","Power Construction Corp. (PowerChina)","Europe & Central Asia",NA,1,179339994859.384,1.6e+08,0.0892160168318573
"KAZ","Kazakhstan",2019,"Energy","Alternative","Power Construction Corp. (PowerChina)","Europe & Central Asia",NA,1,181667190075.541,1.4e+08,0.0770639981505659
"KAZ","Kazakhstan",2020,"Transport","Rail","China State Construction Engineering","Europe & Central Asia",NA,1,171082379532.988,3.2e+08,0.187044393977638
"KEN","Kenya",2010,"Transport","Rail","China Communications Construction","Sub-Saharan Africa",NA,0,45405587556.7313,2.2e+08,0.484521865783863
"KEN","Kenya",2012,"Transport","Rail","China Communications Construction","Sub-Saharan Africa",NA,0,56396706005.9435,5.7e+09,10.1069732679056
"KEN","Kenya",2014,"Transport","Shipping","China Communications Construction","Sub-Saharan Africa",NA,0,68285768554.472,4.8e+08,0.702928311654135
"KEN","Kenya",2015,"Energy","Alternative","Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,0,70120413328.7838,1.3e+08,0.185395370375885
"KEN","Kenya",2016,"Energy","Alternative","Jiangxi International Economic and Technical Cooperation","Sub-Saharan Africa",NA,0,74815121314.9381,1.52e+09,2.03167484498419
"KEN","Kenya",2017,"Energy","Hydro","China Energy Engineering","Sub-Saharan Africa",NA,0,82035800868.187,4.9e+08,0.597300196760826
"KEN","Kenya",2018,"Energy","Gas","Tebian Electric Apparatus (TBEA)","Sub-Saharan Africa",NA,1,92202956320.532,1.13e+09,1.22555723275477
"KEN","Kenya",2019,"Energy","Hydro","Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,1,100555485831.944,1.5e+08,0.149171374151274
"KGZ","Kyrgyzstan",2011,"Energy",NA,"Tebian Electric Apparatus (TBEA)","Europe & Central Asia",NA,0,6197766118.59856,3.9e+08,6.29258982247925
"KGZ","Kyrgyzstan",2014,"Energy","Coal","Tebian Electric Apparatus (TBEA)","Europe & Central Asia",NA,0,7468096566.71158,2.5e+09,33.4757321047982
"KHM","Cambodia",2006,"Energy","Hydro","Sinohydro","East Asia & Pacific",NA,0,7274595706.67154,2.8e+08,3.84901115182541
"KHM","Cambodia",2008,"Energy","Hydro","Datang","East Asia & Pacific",NA,0,10351914093.1723,1.21e+09,11.6886595957946
"KHM","Cambodia",2010,"Energy",NA,"Inner Mongolia Hongkun","East Asia & Pacific","0.51",0,11242275198.9783,8.9e+08,7.91654700003148
