"country","iso","year","exports","region","exports_share_percent_gdp","bri_dummy","oil_price","average_ng_price","average_coal_price","gdp","connectivity_index","resource_rents","trade_share_gdp","covid_19","investment_stock","bri_investment_stock","time"
"Saudi Arabia","SAU",2011,316123549000,"Middle East & North Africa",47.0955388919039,0,4.85209904662356,9.22930882961125,123.48,23745.8805777495,3.94398315784723,51.1275775473053,85.5435202828977,0,0.56760720213904,0,7
"Saudi Arabia","SAU",2012,336122523000,"Middle East & North Africa",45.6703820833706,0,4.8353309621762,9.7481680366005,98.9996153846154,25243.6019982366,3.92923420388492,48.9208077598341,83.5117881829589,0,0,0,8
"Saudi Arabia","SAU",2013,320901198000,"Middle East & North Africa",42.9789637190091,0,4.79345427860183,9.66938714846981,86.1890384615385,24845.1246637862,3.89726826575671,45.6961370274678,82.709049079995,0,0,0,9
"Saudi Arabia","SAU",2014,283178725000,"Middle East & North Africa",37.4401527015099,0,4.68372679604563,10.3293043062448,76.3807692307692,24464.2125570307,3.90475138390902,40.9010636127063,80.6404710009163,0,0,0,10
"Saudi Arabia","SAU",2015,164066248000,"Middle East & North Africa",25.0762334134284,0,4.04662006358545,6.30535954301075,59.7940384615384,20627.9269288204,3.97990232634079,24.0515010462772,71.1201363237211,0,0.907882201802802,0,11
"Saudi Arabia","SAU",2016,134986087000,"Middle East & North Africa",20.9301671758709,0,3.85355969385682,4.43687319065343,65.3691257861635,19878.7638365016,3.94132883585366,19.8356018130208,61.8620420209002,0,0.97219017981246,0,12
"Saudi Arabia","SAU",2017,170245023000,"Middle East & North Africa",24.7238489602294,1,4.04689160314432,5.09512962675765,91.5104134615385,20802.4663134648,4.00573394300058,23.8700001329024,64.1849942849556,0,0.988982869820296,0.0784215491487459,13
"Saudi Arabia","SAU",2018,3883000,"Middle East & North Africa",0.00049369258984618,1,4.29725633055719,6.04922391956162,101.327057692308,23337.0175494347,4.05223592135162,29.5829305934393,66.6867663118935,0,1.39347689536805,0.596296226211328,14
"Saudi Arabia","SAU",2019,0,"Middle East & North Africa",0,1,4.17442925076913,5.94466953577337,74.85525,23139.7979808237,4.03078161042731,24.7799106170355,63.6597579454066,0,0,0,15
"Saudi Arabia","SAU",2020,0,"Middle East & North Africa",0,1,3.73381329834217,4.80842897022332,60.7767916666667,20110.3161924912,4.16356212384078,0,50.6023797517223,1,1.73970705010023,0.844143568644691,16
"Senegal","SEN",2006,414836000,"Sub-Saharan Africa",3.53369289422583,0,4.42641369296762,6.63830839019851,60.6080769230769,1027.73144085752,2.5968176923064,0.00592358864684694,54.1362378092613,0,0,0,2
"Senegal","SEN",2007,293159000,"Sub-Saharan Africa",2.09313911617832,0,4.50378389936413,7.23011011166253,86.7851923076923,1197.40956116175,2.80499243085487,0.004357253958152,59.2713043549794,0,0,0,3
"Senegal","SEN",2008,732131000,"Sub-Saharan Africa",4.34396216489779,0,4.76139812446382,10.5482546267576,147.673653846154,1403.94938456653,2.8031448907205,0.00305806913048693,62.7617698176319,0,0,0,4
"Senegal","SEN",2009,435311000,"Sub-Saharan Africa",2.69611390559998,0,4.30943394623598,6.55813818238213,74.3888461538461,1308.93780804914,2.75108638740481,0.0076076202276214,52.3072908773365,0,0,0,5
"Senegal","SEN",2010,430912000,"Sub-Saharan Africa",2.67293337295921,0,4.54704699396286,7.40939050868486,98.8524528301887,1271.58328084525,2.83768555339174,0.00527625403364826,52.4578551962948,0,0,0,6
"Senegal","SEN",2011,366243000,"Sub-Saharan Africa",2.0558950739126,0,4.85209904662356,9.22930882961125,123.48,1366.77450070807,2.61801045603862,0.0178126027480909,57.5768785989578,0,0,0,7
"Senegal","SEN",2012,354802000,"Sub-Saharan Africa",2.00897218158101,0,4.8353309621762,9.7481680366005,98.9996153846154,1317.77980180538,2.71740373831872,0.0417587391334731,61.9753040040375,0,0,0,8
