"country","year","connectivity_index","iso"
"Bermuda","2010",1.7937036887,"BMU"
"Bermuda","2011",1.6159789264,"BMU"
"Bermuda","2012",1.6159789264,"BMU"
"Bermuda","2013",1.6159789264,"BMU"
"Bermuda","2014",1.6074953774,"BMU"
"Bermuda","2015",1.6074953774,"BMU"
"Bermuda","2016",1.6074953774,"BMU"
"Bermuda","2017",1.6074953774,"BMU"
"Bermuda","2018",1.6074953774,"BMU"
"Bermuda","2019",1.6074953774,"BMU"
"Bermuda","2020",1.7937036887,"BMU"
"Caribbean Netherlands","2006",NA,"BES"
"Caribbean Netherlands","2007",NA,"BES"
"Caribbean Netherlands","2008",NA,"BES"
"Caribbean Netherlands","2009",NA,"BES"
"Caribbean Netherlands","2010",4.4356280529,"BES"
"Caribbean Netherlands","2011",4.2873250479,"BES"
"Caribbean Netherlands","2012",NA,"BES"
"Caribbean Netherlands","2013",4.7957049511,"BES"
"Caribbean Netherlands","2014",4.7957049511,"BES"
"Caribbean Netherlands","2015",4.1923492165,"BES"
"Caribbean Netherlands","2016",6.3265206025,"BES"
"Caribbean Netherlands","2017",4.6910339987,"BES"
"Caribbean Netherlands","2018",4.6910339987,"BES"
"Caribbean Netherlands","2019",4.4694253241,"BES"
"Caribbean Netherlands","2020",4.4694253241,"BES"
"Brazil","2006",32.8696999617,"BRA"
"Brazil","2007",32.3602955665,"BRA"
"Brazil","2008",35.0635556176,"BRA"
"Brazil","2009",33.539745476,"BRA"
"Brazil","2010",36.2338055147,"BRA"
"Brazil","2011",32.3220222561,"BRA"
"Brazil","2012",32.6328512211,"BRA"
"Brazil","2013",33.6695304449,"BRA"
"Brazil","2014",35.032329799,"BRA"
"Brazil","2015",36.0425207753,"BRA"
"Brazil","2016",35.4375681479,"BRA"
"Brazil","2017",33.8914815263,"BRA"
"Brazil","2018",35.3078380475,"BRA"
"Brazil","2019",34.5569687156,"BRA"
"Brazil","2020",36.0321185863,"BRA"
"British Virgin Islands","2006",4.381958546,"VGB"
"British Virgin Islands","2007",4.0806920567,"VGB"
"British Virgin Islands","2008",2.48126444,"VGB"
"British Virgin Islands","2009",2.48126444,"VGB"
"British Virgin Islands","2010",5.0658437666,"VGB"
"British Virgin Islands","2011",3.8231914346,"VGB"
"British Virgin Islands","2012",3.8817657118,"VGB"
"British Virgin Islands","2013",3.8817657118,"VGB"
"British Virgin Islands","2014",3.8817657118,"VGB"
"British Virgin Islands","2015",3.7967385353,"VGB"
"British Virgin Islands","2016",3.8912131758,"VGB"
"British Virgin Islands","2017",5.4634164198,"VGB"
"British Virgin Islands","2018",5.8727039122,"VGB"
"British Virgin Islands","2019",5.463967293,"VGB"
"British Virgin Islands","2020",5.7964695846,"VGB"
"Brunei","2006",4.2455455913,"BRN"
"Brunei","2007",3.9717821526,"BRN"
"Brunei","2008",3.7343895292,"BRN"
"Brunei","2009",3.6232816611,"BRN"
"Brunei","2010",6.0056461939,"BRN"
"Brunei","2011",5.3194942144,"BRN"
"Brunei","2012",4.511415658,"BRN"
"Brunei","2013",4.9646118906,"BRN"
"Brunei","2014",4.971616732,"BRN"
"Brunei","2015",6.152833325,"BRN"
"Brunei","2016",5.9957638583,"BRN"
"Brunei","2017",7.0089609353,"BRN"
"Brunei","2018",5.3298717587,"BRN"
"Brunei","2019",7.5524775375,"BRN"
"Brunei","2020",6.8704789162,"BRN"
"Bulgaria","2006",7.6884252907,"BGR"
"Bulgaria","2007",7.038204881,"BGR"
"Bulgaria","2008",6.5792061045,"BGR"
"Bulgaria","2009",16.3575588387,"BGR"
"Bulgaria","2010",7.7952553301,"BGR"
"Bulgaria","2011",6.0158124928,"BGR"
"Bulgaria","2012",5.8534192071,"BGR"
"Bulgaria","2013",6.2335764887,"BGR"
"Bulgaria","2014",5.8061924345,"BGR"
"Bulgaria","2015",9.7478309109,"BGR"
"Bulgaria","2016",6.3035378136,"BGR"
"Bulgaria","2017",6.7157698814,"BGR"
"Bulgaria","2018",7.1210505162,"BGR"
"Bulgaria","2019",7.0803037312,"BGR"
"Bulgaria","2020",8.076758283,"BGR"
"Cape Verde","2006",3.5273361836,"CPV"
"Cape Verde","2007",5.1930177726,"CPV"
"Cape Verde","2008",5.640614609,"CPV"
"Cape Verde","2009",6.4787376396,"CPV"
"Cape Verde","2010",4.2314954429,"CPV"
"Cape Verde","2011",4.7959481558,"CPV"
"Cape Verde","2012",5.8011277338,"CPV"
"Cape Verde","2013",5.4502280799,"CPV"
"Cape Verde","2014",6.8744332788,"CPV"
"Cape Verde","2015",4.0217206242,"CPV"
"Cape Verde","2016",5.0579022301,"CPV"
"Cape Verde","2017",4.5285373654,"CPV"
"Cape Verde","2018",5.9978608476,"CPV"
"Cape Verde","2019",5.8960011439,"CPV"
"Cape Verde","2020",4.4610114431,"CPV"
"Cambodia","2006",3.5814402152,"KHM"
"Cambodia","2007",4.5763127953,"KHM"
"Cambodia","2008",6.4747430288,"KHM"
"Cambodia","2009",4.3643316704,"KHM"
"Cambodia","2010",8.8810712583,"KHM"
"Cambodia","2011",5.7235661571,"KHM"
"Cambodia","2012",3.5351271144,"KHM"
"Cambodia","2013",5.7204291603,"KHM"
"Cambodia","2014",5.8986757439,"KHM"
"Cambodia","2015",6.7826416426,"KHM"
"Cambodia","2016",8.3989131478,"KHM"
"Cambodia","2017",8.660090805,"KHM"
"Cambodia","2018",7.7979941824,"KHM"
"Cambodia","2019",8.5707720411,"KHM"
"Cambodia","2020",8.4109803117,"KHM"
"Cameroon","2006",14.7451583834,"CMR"
"Cameroon","2007",14.2879877762,"CMR"
"Cameroon","2008",14.2693212797,"CMR"
"Cameroon","2009",16.4689990515,"CMR"
"Cameroon","2010",19.1479399157,"CMR"
"Cameroon","2011",15.758935271,"CMR"
"Cameroon","2012",14.1241727264,"CMR"
"Cameroon","2013",16.9767527254,"CMR"
"Cameroon","2014",15.7540555459,"CMR"
"Cameroon","2015",16.543745345,"CMR"
"Cameroon","2016",16.1353668691,"CMR"
"Cameroon","2017",16.6261389904,"CMR"
"Cameroon","2018",15.5281423194,"CMR"
"Cameroon","2019",24.5567466916,"CMR"
"Cameroon","2020",15.3297512055,"CMR"
"Canada","2006",32.8918008353,"CAN"
"Canada","2007",32.4295004549,"CAN"
"Canada","2008",33.6540235535,"CAN"
"Canada","2009",36.2735536336,"CAN"
"Canada","2010",47.1306703059,"CAN"
"Canada","2011",36.2503398757,"CAN"
"Canada","2012",35.1765771229,"CAN"
"Canada","2013",35.3807985501,"CAN"
"Canada","2014",44.8648630124,"CAN"
"Canada","2015",38.5696892166,"CAN"
"Canada","2016",39.89794637,"CAN"
"Canada","2017",43.6724641108,"CAN"
"Canada","2018",46.5688468282,"CAN"
"Canada","2019",45.2495891094,"CAN"
"Canada","2020",46.7750334678,"CAN"
"Cayman Islands","2006",2.1867115424,"CYM"
"Cayman Islands","2007",2.2829859304,"CYM"
"Cayman Islands","2008",1.7430266417,"CYM"
"Cayman Islands","2009",1.7430266417,"CYM"
"Cayman Islands","2010",2.0403402784,"CYM"
"Cayman Islands","2011",1.7430266417,"CYM"
"Cayman Islands","2012",2.0087953502,"CYM"
"Cayman Islands","2013",2.0087953502,"CYM"
"Cayman Islands","2014",2.0087953502,"CYM"
"Cayman Islands","2015",2.0087953502,"CYM"
"Cayman Islands","2016",1.6547733144,"CYM"
"Cayman Islands","2017",1.6547733144,"CYM"
"Cayman Islands","2018",1.6547733144,"CYM"
"Cayman Islands","2019",1.8849610102,"CYM"
"Cayman Islands","2020",1.8849115809,"CYM"
"Chile","2006",17.1771956621,"CHL"
"Chile","2007",17.5541848582,"CHL"
"Chile","2008",16.9060857376,"CHL"
"Chile","2009",20.7417071563,"CHL"
"Chile","2010",36.329440994,"CHL"
"Chile","2011",24.1174806967,"CHL"
"Chile","2012",28.9723074348,"CHL"
"Chile","2013",28.4328093267,"CHL"
"Chile","2014",28.2473414817,"CHL"
"Chile","2015",28.9585895602,"CHL"
"Chile","2016",29.7862750116,"CHL"
"Chile","2017",35.4243788007,"CHL"
"Chile","2018",35.8928044051,"CHL"
"Chile","2019",35.8219854721,"CHL"
