"country","year","fossil_share_energy","region","iso","inv_dummy","bri_dummy","gdp","industry_share","pop_size","resource_rents","trade_share_gdp","urban_pop_share","covid_19"
"Luxembourg",2017,93.688,"Europe & Central Asia","LUX",0,0,109921.031443585,10.8183368591649,13.2985595455847,0,353.793991980303,90.727,0
"Luxembourg",2018,93.297,"Europe & Central Asia","LUX",0,0,117197.48169363,10.9856935977456,13.3178479207246,0,360.132136323845,90.981,0
"Luxembourg",2019,92.937,"Europe & Central Asia","LUX",0,0,113218.713349678,11.7127576499463,13.3374763699232,0,380.104207111215,91.223,0
"Malaysia",2005,97.814,"East Asia & Pacific","MYS",0,0,5587.02477972975,46.3683224854575,17.0616363080755,9.478227627478,203.854644595624,66.594,0
"Malaysia",2006,97.791,"East Asia & Pacific","MYS",0,0,6209.12616705899,46.5156572562267,17.081344546103,9.46572611461647,202.577146840398,67.483,0
"Malaysia",2007,97.978,"East Asia & Pacific","MYS",0,0,7243.45680069813,44.5959960321039,17.1009366415683,8.3091192131704,192.465506357652,68.36,0
"Malaysia",2008,97.511,"East Asia & Pacific","MYS",1,0,8474.58776222379,45.1050654004356,17.1200502957333,9.57049118768859,176.668324785148,69.225,0
"Malaysia",2009,97.588,"East Asia & Pacific","MYS",1,0,7292.4949731478,40.9678238412473,17.1382070815805,6.63536139537737,162.558970452699,70.075,0
"Malaysia",2010,97.859,"East Asia & Pacific","MYS",1,0,9040.56849464524,40.4989323548818,17.1551171762455,6.33830301800968,157.944764886771,70.912,0
"Malaysia",2011,97.391,"East Asia & Pacific","MYS",1,0,10399.3702125714,39.8242687277964,17.1706975782227,7.38850378576248,154.937684607226,71.609,0
"Malaysia",2012,97.195,"East Asia & Pacific","MYS",1,0,10817.4317100783,40.1350010090069,17.1851549726928,7.08954069211344,147.841754766013,72.275,0
"Malaysia",2013,96.717,"East Asia & Pacific","MYS",1,0,10970.1042996033,39.8853736547897,17.1988468084064,6.36394804640985,142.720991464873,72.93,0
"Malaysia",2014,96.354,"East Asia & Pacific","MYS",1,0,11319.0619448482,39.9244244845871,17.212251558025,6.02239670361989,138.312231176843,73.577,0
"Malaysia",2015,96.186,"East Asia & Pacific","MYS",1,0,9955.24272167626,38.4496697879603,17.2256995602387,4.78479909684626,131.37007244526,74.213,0
"Malaysia",2016,95.075,"East Asia & Pacific","MYS",1,0,9817.78709031009,37.6833535230961,17.2392731526949,3.44080758238145,126.8990100257,74.84,0
"Malaysia",2017,93.743,"East Asia & Pacific","MYS",1,1,10259.3048064811,38.1146434867196,17.2528680444053,4.18542340268852,133.155173371956,75.447,0
"Malaysia",2018,93.714,"East Asia & Pacific","MYS",1,1,11380.0820900475,38.2914295187048,17.2663876445451,6.08059327583665,130.402647607338,76.036,0
"Malaysia",2019,93.613,"East Asia & Pacific","MYS",1,1,11432.8229973018,37.4663699801144,17.2796761346972,4.73839357244104,122.9944414228,76.607,0
"Mexico",2005,93.259,"Latin America & Caribbean","MEX",0,0,8277.67156384567,32.7834060602748,18.4789986980434,5.48109499704423,53.9381321057714,76.308,0
