"country","year_investment","sector","subsector","quantity_in_millions","investor","region","share_size","iso","bri"
"Brazil",2016,"Energy",NA,1200,"China Three Gorges, China Development Bank","Latin America & Caribbean",NA,"BRA",0
"Brazil",2017,"Energy","Oil",120,"China National Petroleum Corp. (CNPC)","Latin America & Caribbean","0.2","BRA",0
"Brazil",2010,"Energy","Oil",7100,"China Petroleum and Chemical (Sinopec)","Latin America & Caribbean","0.4","BRA",0
"Brazil",2015,"Energy","Oil",2000,"Industrial and Commercial Bank of China","Latin America & Caribbean",NA,"BRA",0
"Brazil",2013,"Energy","Oil",1400,"China National Petroleum Corp. (CNPC), China National Off-shore Oil (CNOOC)","Latin America & Caribbean","10%, 10%","BRA",0
"Brazil",2016,"Energy","Alternative",150,"China National Machinery Industry (Sinomach)","Latin America & Caribbean",NA,"BRA",0
"Brazil",2013,"Energy","Hydro",130,"China Three Gorges","Latin America & Caribbean","0.5","BRA",0
"Brazil",2016,"Energy",NA,110,"State Grid","Latin America & Caribbean",NA,"BRA",0
"Brazil",2015,"Energy","Alternative",100,"BYD","Latin America & Caribbean",NA,"BRA",0
"Brazil",2018,"Energy",NA,300,"China National Petroleum Corp. (CNPC)","Latin America & Caribbean","0.3","BRA",0
"Brazil",2017,"Transport","Shipping",100,"China Communications Construction","Latin America & Caribbean",NA,"BRA",0
"Brazil",2018,"Energy","Gas",530,"Shangdon Kerui","Latin America & Caribbean",NA,"BRA",0
"Brazil",2017,"Transport","Shipping",920,"China Merchants Group","Latin America & Caribbean","0.9","BRA",0
"Brazil",2018,"Energy","Hydro",190,"China Three Gorges","Latin America & Caribbean",NA,"BRA",0
"Brazil",2014,"Energy",NA,970,"State Grid","Latin America & Caribbean","0.51","BRA",0
"Brazil",2017,"Energy",NA,3440,"State Grid","Latin America & Caribbean","0.4","BRA",0
"Brazil",2019,"Energy","Alternative",1030,"China General Nuclear Power","Latin America & Caribbean",NA,"BRA",0
"Brazil",2010,"Energy","Oil",3070,"Sinochem","Latin America & Caribbean","0.4","BRA",0
"Brazil",2010,"Energy",NA,1720,"State Grid","Latin America & Caribbean","1","BRA",0
"Brazil",2012,"Energy",NA,940,"State Grid","Latin America & Caribbean",NA,"BRA",0
"Brazil",2017,"Energy","Hydro",2260,"State Power Investment Corporation","Latin America & Caribbean",NA,"BRA",0
"Brazil",2013,"Energy","Hydro",250,"China Three Gorges","Latin America & Caribbean","0.5","BRA",0
"Brazil",2014,"Energy","Alternative",140,"China Three Gorges","Latin America & Caribbean","0.49","BRA",0
"Brazil",2015,"Energy",NA,2200,"State Grid","Latin America & Caribbean",NA,"BRA",0
"Brazil",2014,"Energy","Hydro",390,"China Three Gorges","Latin America & Caribbean","0.33","BRA",0
"Brazil",2016,"Energy","Gas",410,"China Investment Corporation (CIC)","Latin America & Caribbean",NA,"BRA",0
"Brazil",2011,"Energy",NA,4800,"China Petroleum and Chemical (Sinopec)","Latin America & Caribbean","0.3","BRA",0
"Brazil",2016,"Energy",NA,4910,"State Grid","Latin America & Caribbean","0.55000000000000004","BRA",0
"Brazil",2012,"Energy",NA,550,"State Grid","Latin America & Caribbean",NA,"BRA",0
"Brazil",2019,"Energy","Alternative",780,"China General Nuclear Power","Latin America & Caribbean","1","BRA",0
"Brazil",2016,"Energy",NA,450,"State Grid","Latin America & Caribbean",NA,"BRA",0
"Brazil",2016,"Energy","Hydro",3660,"China Three Gorges","Latin America & Caribbean",NA,"BRA",0
"Brazil",2015,"Energy",NA,490,"China Three Gorges","Latin America & Caribbean",NA,"BRA",0
"Brazil",2017,"Transport","Shipping",240,"China Communications Construction","Latin America & Caribbean","0.51","BRA",0
"Brazil",2016,"Energy","Gas",1090,"China Investment Corporation (CIC)","Latin America & Caribbean",NA,"BRA",0
"Brunei",2014,"Energy","Oil",3440,"Zhejiang Hengyi","East Asia & Pacific","0.7","BRN",0
"Bulgaria",2019,"Transport","Shipping",130,"China National Machinery Industry (Sinomach)","Europe & Central Asia",NA,"BGR",1
"Cambodia",2010,"Energy",NA,180,"Inner Mongolia Hongkun","East Asia & Pacific","0.51","KHM",0
"Cambodia",2016,"Energy",NA,100,"China National Machinery Industry (Sinomach)","East Asia & Pacific",NA,"KHM",1
"Cambodia",2017,"Energy","Oil",560,"Sino Great Wall","East Asia & Pacific",NA,"KHM",1
"Cambodia",2008,"Energy","Hydro",260,"Datang","East Asia & Pacific",NA,"KHM",0
"Cambodia",2010,"Energy","Coal",170,"China Huadian Corporation (Huadian)","East Asia & Pacific",NA,"KHM",0
"Cambodia",2008,"Energy",NA,370,"Datang","East Asia & Pacific",NA,"KHM",0
"Cambodia",2013,"Energy","Hydro",410,"Huaneng Power","East Asia & Pacific","0.51","KHM",0
"Cambodia",2016,"Energy",NA,120,"China National Machinery Industry (Sinomach)","East Asia & Pacific",NA,"KHM",1
"Cambodia",2008,"Energy","Hydro",580,"China Huadian Corporation (Huadian)","East Asia & Pacific",NA,"KHM",0
"Cambodia",2017,"Energy","Alternative",200,"Hengtong Group","East Asia & Pacific",NA,"KHM",1
"Cambodia",2010,"Energy","Hydro",540,"China National Machinery Industry (Sinomach)","East Asia & Pacific",NA,"KHM",0
"Cambodia",2019,"Energy",NA,190,"China Energy Engineering, China National Machinery Industry (Sinomach)","East Asia & Pacific","0.5","KHM",1
"Cambodia",2019,"Energy","Coal",1190,"China Huadian Corporation (Huadian)","East Asia & Pacific",NA,"KHM",1
"Cambodia",2020,"Energy","Coal",670,"Sinosteel","East Asia & Pacific",NA,"KHM",1
"Cambodia",2006,"Energy","Hydro",280,"Sinohydro","East Asia & Pacific",NA,"KHM",0
"Cameroon",2017,"Energy","Hydro",400,"China National Machinery Industry (Sinomach)","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2016,"Energy","Hydro",300,"Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2011,"Energy","Hydro",200,"China Three Gorges","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2011,"Energy","Oil",540,"China Petroleum and Chemical (Sinopec)","Sub-Saharan Africa","0.8","CMR",0
"Cameroon",2017,"Energy","Alternative",120,"Huawei Technologies","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2012,"Energy","Hydro",210,"China Three Gorges","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2010,"Energy","Hydro",640,"Sinohydro","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2013,"Energy","Hydro",330,"China Three Gorges","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2018,"Energy","Hydro",890,"Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,"CMR",1
"Cameroon",2015,"Energy","Hydro",650,"Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,"CMR",0
"Cameroon",2009,"Transport","Shipping",500,"China Communications Construction","Sub-Saharan Africa",NA,"CMR",0
"Canada",2005,"Energy","Oil",130,"China National Off-shore Oil (CNOOC)","North America","0.17","CAN",0
"Canada",2005,"Energy","Oil",120,"China Petroleum and Chemical (Sinopec)","North America","0.4","CAN",0
"Canada",2016,"Energy","Oil",440,"Geo-Jade Petroleum","North America","1","CAN",0
"Canada",2012,"Energy",NA,15100,"China National Off-shore Oil (CNOOC)","North America",NA,"CAN",0
"Canada",2014,"Energy","Gas",440,"Zhejiang Rongsheng, Shanghai Zhongrong, Legend","North America",NA,"CAN",0
"Canada",2010,"Energy","Oil",4650,"China Petroleum and Chemical (Sinopec)","North America","0.09","CAN",0
"Canada",2010,"Energy","Oil",1220,"China Investment Corporation (CIC)","North America","5%, 45%","CAN",0
"Canada",2014,"Energy","Oil",1090,"China National Petroleum Corp. (CNPC)","North America","0.4","CAN",0
"Canada",2018,"Energy","Gas",2830,"China National Petroleum Corp. (CNPC)","North America","0.15","CAN",0
"Canada",2013,"Energy",NA,300,"Shaanxi Yanchang Petroleum","North America","1","CAN",0
"Canada",2009,"Energy","Oil",1740,"China National Petroleum Corp. (CNPC)","North America","0.6","CAN",0
"Canada",2011,"Energy","Oil",2040,"China National Off-shore Oil (CNOOC)","North America","1","CAN",0
"Canada",2017,"Energy","Oil",190,"Sinoenergy","North America",NA,"CAN",0
"Canada",2010,"Energy","Oil",490,"China Investment Corporation (CIC)","North America",NA,"CAN",0
"Canada",2014,"Energy","Gas",1240,"China Petroleum and Chemical (Sinopec), China Huadian Corporation (Huadian)","North America","10%, 5%","CAN",0
"Canada",2018,"Energy","Oil",310,"China National Off-shore Oil (CNOOC)","North America",NA,"CAN",0
"Canada",2014,"Energy",NA,120,"Sinosteel","North America",NA,"CAN",0
"Canada",2014,"Energy","Alternative",150,"Guodian","North America",NA,"CAN",0
"Canada",2012,"Energy","Oil",670,"China National Petroleum Corp. (CNPC)","North America","0.4","CAN",0
"Canada",2012,"Energy","Gas",1030,"China National Petroleum Corp. (CNPC)","North America","0.2","CAN",0
"Canada",2012,"Energy","Oil",1510,"China National Petroleum Corp. (CNPC)","North America","0.5","CAN",0
"Canada",2016,"Energy",NA,560,"Sinoenergy","North America","1","CAN",0
"Canada",2012,"Energy","Gas",2180,"China National Petroleum Corp. (CNPC)","North America","0.49","CAN",0
"Canada",2015,"Energy","Gas",170,"Sinoenergy","North America","1","CAN",0
"Canada",2012,"Energy","Oil",300,"China Investment Corporation (CIC), China Petroleum and Chemical (Sinopec)","North America",NA,"CAN",0
"Canada",2011,"Energy",NA,2100,"China Petroleum and Chemical (Sinopec)","North America","1","CAN",0
"Canada",2011,"Energy","Alternative",260,"Guodian","North America","0.7","CAN",0
"Canada",2017,"Energy",NA,360,"MIE, Can-China Global Resources","North America",NA,"CAN",0
"Canada",2016,"Energy","Gas",100,"Sequoia Resources","North America",NA,"CAN",0
